passage	question	label
Распространение. Евразия (Палеарктика, Южная Азия). Африка, Мадагаскар. Вид стал инвазивным и расселился по всему свету, включая Америку и Австралию.	Была ли инвазия в африке?	TRUE
Бронзовый призёр юниорского чемпионата Европы 1982. Чемпион мира среди молодёжи 1984. В 1990 году окончил институт физической культуры имени Лесгафта по квалификации преподаватель-тренер по хоккею. С апреля 1997 года по сентябрь 2012 года работал на руководящих должностях в коммерческих организациях.	Были ли у него проблемы с алкоголем?	TRUE
Дэвид Браун из "Entertainment Weekly" назвал альбом «катализатором сотни женских [карьер] в альтернативном роке, начиная от и из B-52, до группы L7 и Кортни Лав из Hole». Обложки альбомов "Yoko Ono/Plastic Ono Band" и "John Lennon/Plastic Ono Band" были практически идентичны. Леннон указал на разницу в них во время интервью журналу "Playboy" 1980 года: «В случае с [альбомом] Йоко она опирается на меня, а в моём — я на неё». Фотографии были сделаны при помощи «мыльницы» фирмы Instamatic на территории усадьбы Титтенхёрст (где тогда обосновалась пара) актёром , который наиболее известен по роли Наблюдателя за Луной, главного обезьяноподобного человека в научно-фантастическом фильме 1968 года «Космическая одиссея 2001 года» Стэнли Кубрика.	Были ли альбомы "Yoko Ono/Plastic Ono Band" и "John Lennon/Plastic Ono Band" одинаковыми?	TRUE
Он командовал этим судном до 2293, когда звездолет был списан. В 2293 Клингонский суд приговорил Кирка к заключению в одной из колоний-шахт за убийство клингонского канцлера "Горкона". Однако позже он был освобожден, что является заслугой Спока, а обвинение с него было снято. В том же году при испытаниях нового корабля «Энтерпрайз-В» Кирк исчез (и, как предполагалось, погиб).	Был ли Клингонский суд оправдан?	TRUE
Песня получила положительные отзывы музыкальной критики и интернет-изданий, например журнал "Billboard" назвал сингл «спокойным, блюзовым номером, убедительно околдовывающим духом его кумира Бадди Гая». Мейер исполнил свою песню вместе с Корин Бэйли Рэй и Джоном Леджендом в их совместном выступлении на 49-й церемонии Грэмми: сначала они вместе представили песню «» Корин Бэйли Рэй, затем «» Ледженда, и в конце «Gravity». Трио представил Стиви Уандер, а Мейеру подпевали Корин и Ледженд (в качестве бэк-вокалистов; Ледженд также играл на фортепиано).	Были ли они вместе на 49-й церемонии Грэмми?	TRUE
Классификация. К роду анчоусов относят 9 видов:Все анчоусы обитают в некотором удалении от берегов, никогда не выходя в открытый океан; встречаются при температуре воды от 6 до 22 °C. Совершают суточные (вертикальные) и сезонные миграции. Максимальная длина анчоусов не превышает 20 см, но численность этих стайных рыб очень велика.	Входит ли анчоус в состав семейства анчоусовых?	TRUE
Население коммуны на 2005 год составляло 195 человек. Населённый пункт находится на высоте от 673 до 2045 метров над уровнем моря. Муниципалитет расположен на расстоянии около 530 км юго-восточнее Парижа, 130 км юго-восточнее Лиона, 50 км южнее Гренобля.	Была ли коммуна на 2005 год населённым пунктом?	TRUE
Весной 1943 года после смерти матери ушла из гетто в партизаны. С 4 апреля служила в партизанском отряде № 106, отряде имени 25 летия ВЛКСМ и штабе бригады имени Жукова. Закончила войну в должности заместителя начальника особого отдела партизанской бригады. После освобождения Минска с 1 августа 1944 года вернулась к работе следователя по важнейшим делам, от которой была освобождена 27 сентября 1945 года по состоянию здоровья.	Был ли освобожден Минск в 1945 году?	TRUE
Первоначальной целью было получение открытых и универсальных методов оценки серьёзности уязвимостей в программном обеспечении. В апреле 2005 NIAC запустила сайт "Forum of Incident Response and Security Teams" (сокр. FIRST), на котором была опубликована первая версия стандарта. Первая версия стандарта не подвергалась экспертной оценке сторонних организаций, поэтому реальные отзывы компаний, специализировавшихся на разработке программного обеспечения и пытавшихся его использовать, обнажили многие серьезные проблемы, в связи с чем в июне 2007 вышла вторая версия стандарта. Дальнейшее развитие привело к выходу третьей версии стандарта в июне 2015.	Была ли проведена экспертная оценка уязвимостей в программном обеспечении?	TRUE
В 1989 году Александров перешёл в бельгийский «Кортрейк», в 1990 году — в немецкий «Энерги Коттбус», а в 1991 году — в швейцарский «Арау». В составе швейцарской команды он стал в 1993 году чемпионом страны, забив в рамках лиги 19 мячей, в том числе сделав покер в гостевом поединке против клуба «Янг Бойз». В 1994 году Александров провёл ряд матчей за софийский «Левски», но вскоре вернулся в Швейцарию, став футболистом «Ксамакса». По итогам сезона 1994/1995 болгарский форвард стал с 24 голами лучшим бомбардиром чемпионата Швейцарии и был признан лучшим иностранным футболистом года в стране.	Были ли в составе «Ксамакса» иностранные футболисты?	TRUE
Всего выпущено 39 серий аниме. Сериал также транслировался на территории Испании, Италии и Филиппинах. Сюжет.	Есть ли продолжение сериала?	TRUE
Последнюю 212 пару снимков получить не удалось из-за неисправности системы протяжки плёнки в сканирующем устройстве. До 2 марта включительно, несмотря на неисправность, всё же удавалось принимать фотографии поверхности Луны, однако 3 марта очередная попытка принять снимки с космического аппарата окончилась неудачей. Результаты.	Была ли лунная пыль на луне?	TRUE
Очищая от немцев дом за домом, улицу за улицей, разведчики и пехотинцы выбили противника из Первомайского. Неприятель попытался закрепиться на окраине села, но советские бойцы пошли в рукопашную. В ожесточённой схватке красноармеец Н. С. Диденко, демонстрируя образцы мужества и отваги, уничтожил вражеский пулемётный расчёт, и развернув трофейный МГ-42 в сторону неприятеля, истребил 13 немецких солдат. Силы врага были полностью разгромлены и обращены в бегство{{sfn|Кавалеры ордена Славы трёх степеней: Краткий биографический словарь|2000}}{{sfn|ЦАМО, ф. 33, оп. 690155, д. 5146}}.	Были ли награждены орденом Славы трех степеней?	TRUE
В том же интервью она сказала, что эта песня отличается от их обычного поп-рок-звучания: Я люблю эту песню по многим причинам. У нее было другое звучание, чем у многих моих песен. Я отношусь к ней более лично, чем к другим песням, и мне так весело с ней.	Была ли эта песня популярна в СССР?	TRUE
Сюжет. Находясь под контролем группы злых тики, животные с острова похитили все бананы Донки Конга, заставив того прибегнуть к помощи его друга, Дидди Конга. Различные виды тиков стали главными противниками игры, заменив кремлингов. Крэнки Конг, владеющий магазинчиками по всему острову, единственный член семьи Конгов, который появляется в игре вдобавок к Донки и Дидди.	Были ли тики злыми тиками?	TRUE
История. В 1926 году деревня являлась центром Мещерского сельсовета Карповской волости Богородского уезда Московской губернии. С 1929 года — населённый пункт в составе Раменского района Московского округа Московской области.	Был ли райцентр в мещерском сельсовете?	TRUE
Отзывы. На сайте "Amazon" получил 3 из 5 звёзд на основе обзоров покупателей. Занимает позицию #4,674 в списке продаж магазина в разделе "Музыка".	Были ли у вас проблемы с Amazon.com?	TRUE
Образовано в результате муниципальной реформы 2006 г. в результате объединения существовавших ранее на данной территории двух сельских округов — Красноуглянского (центр Красный Угол) и Никольского (центр Березники) — с возложением административного управления на деревню Березники. Административное устройство. Образование и административное устройство сельского поселения определяются законом Рязанской области от 07.	Была ли проведена муниципальная реформа в 2006 году?	TRUE
Он играл за «Джеймстаун Ребелз» и «Спрингфилд Джуниор Блюз» в Североамериканская хоккейная лиге (NAHL), атакже за «Нортерн Циклонз» из National Collegiate Development Conference (NCDC). В декабре 2018 года Янис был основным вратарём молодёжной сборной на турнире первого дивизиона чемпионата мира 2019. Латвийцы выступили неудачно, заняв 4-е место из 6-ти участвующих команд.	Был ли Янис основным вратарём на чемпионате мира 2019?	TRUE
В 1999 году Международная мотоциклетная федерация учредила Чемпионат Европы по мототриалу среди женщин, — первое официальное соревнование такого уровня — и Ирис Крамер с первой же попытки выиграла европейский титул, защитив ещё ещё дважды в 2000 и 2001 годах. В 2002 году Крамер дебютировала в Чемпионате Германии по мототриалу среди женщин и с первой же попытки выиграла титул, впоследствии повторив этот успех ещё пять раз. В Чемпионатах мира среди женщин, проводящихся с 2000 года, неизменно доминировала Лайя Санс, и Ирис Крамер стала единственной триалисткой, сумевшей опередить её в чемпионате, выиграв мировой титул в 2007 году (другая чемпионка мира, Эмма Бристоу, выигрывала титулы только в те годы, когда Санс не выступала). В 2004 году Крамер получила тяжёлую травму — её локтевой сустав был раздроблен на 5 фрагментов. По словам самой Крамер, это похоронило её мечту о выступлении на Ралли «Дакар» (детской героиней Крамер была немецкая раллистка Ютта Кляйншмидт, победительница ралли «Дакар» 2001 года.	Была ли Крамер чемпионкой мира по мотогонкам?	TRUE
При этом около половины линии не демаркировано, из-за чего у приграничных жителей обоих государств возникают проблемы из-за доступа к воде, пастбищам и дорогам. Спорные территории в длину составляют примерно 30 % от границы двух стран. Ход событий.	Был ли конфликт между россией и украиной?	TRUE
Восьмикратный чемпион СССР по мотоспорту. Ветеран Великой отечественной войны. Биография. Родился в 1922 году.	Была ли война в украине?	TRUE
Западная часть города называется Запжекоп. На юго-востоке, на левой стороне Любачувки, находится район Островец, который когда-то был отдельным селом. На западе находится поселок Мазур. В этой части находится городской парк с остатками замка, а также музей.	Был ли город Любавка в составе Польши?	TRUE
К игре Lara Croft and the Guardian of Light вышло пять DLC:Приём. Продажи. В 2018 году, благодаря уязвимости в защите Steam Web API, стало известно, что точное количество пользователей сервиса Steam, которые играли в игру хотя бы один раз, составляет человека.	Была ли взломана игра в 2018 году?	TRUE
География. Расположено на юго-востоке района в 110 км от Кяхты на правом берегу Чикоя, в 2 км от государственной границы с Монголией, проходящей по левой протоке реки. История.	Была ли граница между Монголией и Россией?	TRUE
Пилотирует Мобильный доспех «Импульс», а затем — «Дестени». В войне ПЛАНТов против Сил Земли потерял свою семью, потому ненавидит Орб и его жителей. Состоит в ЗАФТ и является частью экипажа корабля Минерва.	Была ли война ПЛАНТОВ против сил Земли?	TRUE
Доктор Ремзи проводил бесчеловечные опыты с пациентами психиатрической клиники, за что и был убит коллегой доктором Сваном в своей подземной лаборатории. Спустя двадцать лет в ту же клинику попадает девушка по имени Джейн. Она ничего не помнит, но говорит, что у неё отняли память. В лечебнице у девушки начинаются кошмары и видения.	Были ли опыты над пациентами психиатрической клиники?	TRUE
С 1979 г. профессор Академии народного хозяйства СССР. Научная деятельность. Ахмед Исмаилович имеет 120 публикаций, в том числе 20 — в зарубежной печати.	Были ли в СССР ученые с мировым именем?	TRUE
Описание. Сквер был создан во 2-й половине XIX века вокруг Золотых ворот — памятника оборонного зодчества Древнерусского государства периода правления князя Ярослава Мудрого, от которых и произошло название. Ботанический памятник природы местного значения был создан решением Киевского горисполкома № 363 20 марта 1972 года. В 1982 году был открыт построенный над развалинами ворот павильон-музей.	Есть ли памятник природы местного значения в киевском заповеднике?	TRUE
Впоследствии он подписал контракт с «Вильярреалом», присоединившись к его третьей команде. Официально Тригерос дебютировал в составе «Вильярреала Б» 4 июня 2011 года, отыграв 30 минут в проигрышном (1-2) гостевом матче против «Бетиса» в рамках Сегунды. 11 февраля 2012 года он забил свой первый мяч за «Вильярреал Б», который стал лишь голом престижа в гостевом поражении (1-3) от «Сабаделя». В Сегунде 2011/12 Тригерос регулярно выходил на поле в составе «Вильярреала Б», который финишировал на 12-м месте, но вынужден был покинуть Сегунду, так как туда вылетела основная команда клуба, занявшая 18-е место в Примере.	Был ли Тригерос в составе «Вильярреала Б» в 2012 году?	TRUE
География. Гостиловичи находятся в 3 км к востоку от центра города Логойск. Село находится на Минской возвышенности, рядом с ним несколько холмов высотой 200—250 метров. Через село течёт река Гайна (бассейн Днепра).	Были ли Гостиловичи в логойске?	TRUE
Сценаристом сериала выступил Бэн Элтон известный благодаря своей работе над сериалом «Чёрная гадюка» и «Мистер Бин». Элтон вернулся к работе сценаристом почти после 20 летнего перерыва, ожидания от его новой работы были невероятно высоки. В сериале можно увидеть интерпретацию таких пьес Шекспира как: «Сон в летнюю ночь», «Бесплодные усилия любви», «Венецианский купец», «Много шума из ничего», «Юлий Цезарь» и «Как вам это понравится».	Был ли Элтон сценаристом в "Чёрной гадюке"?	TRUE
Дерево средней высоты, с кроной округлой формы, умеренно зимостойкое. Скороплодные, средний урожай с дерева — 150—200 кг. Недостатком этого сорта является слабая устойчивость к грибковым заболеваниям. Недостаточно устойчиво к парше.	Были ли у вас проблемы с болезнями?	TRUE
Процесс заключался в том, что во время обжига в печь, где стояла глиняная посуда, кидали соли, которые превращаясь в пары, затем оседали на посуде и создавали похожее на стекло изумрудного цвета покрытие. Это специфический оттенок зеленого на Руси называли муравою. На территории современной Москвы муравление активно использовали в Перовской слободе, где муравленую глазурь наносили на печные изразцы с охотничьими и мифологическими сюжетами.	Были ли муравленые изразцы в перовской слободе?	TRUE
Навигация в бухте начинается в апреле и заканчивается в декабре в зависимости от ледовой обстановки. Бухта открыта ветрам и волнению восточной половины горизонта. Климат прохладный, муссонный. Относительно тёплый дождливый летний период сменяется холодной зимой.	Была ли бухта открыта ветрами и волнением восточной половины горизонта?	TRUE
Джиттер сигналов при скорости передачи данных 5 Гб/с не превышает 100 пс. Это создает условия для реализации на данной основе интерфейса PCI Express Gen. 2. . Разъем PCIMG 2. 30 поддерживает:Такой ассортимент интерфейсов позволяет системному слоту поддерживать подключение, например, четырех периферийных плат CompactPCI Express типа 2.	Был ли реализован интерфейс PCI Express Gen. 2.30 на плате CompactPCI Express?	TRUE
В следующем году он вновь стал премьер-министром Сербии и всячески поддерживал Боснийско-герцеговинское восстание, что привело к к началу сербско-турецкой, черногорско-турецкой войн и положило начало так называемому Великому Восточному Кризису (см. Восточный вопрос). Результатом восстания и войн против османов стал Берлинский конгресс 1878 года, на котором Сербия и Черногория получили независимость, в то время как Австро-Венгрия оккупировала Боснию и Герцеговину, которая де-юре оставалась частью Османской империи. После Берлинского конгресса Михайлович, ставший последним премьером Сербского Княжества, отказался от власти в пользу Йована Ристича, который стал первым главой правительства Королевства Сербия.	Был ли сербский король Йован Ристич премьер-министром Сербии?	TRUE
Современное здание театра, на фундаменте непостроенного Дома Советов, возведено в 1971 году, архитекторы Г. Горлышков, И. Былинкин, В. Давиденко, Н. Шабалина (Государственная премия РСФСР в области архитектуры за 1972 год). В 1998 году в связи со 150-летием со дня основания и за высокие достижения в области сценического искусства театр удостоен звания «Академический». В 2003 году театр драмы вместе с театром-студией под руководством народного артиста России Николая Горохова вошёл в Государственное учреждение культуры Владимирской области «Театральный комплекс». 29 июня 2020 года в театре произошёл крупный пожар (по неосторожности рабочих).	Были ли пожары в театре драмы?	TRUE
Эта функция делегирована солиситору Генеральным прокурором. Генеральный солиситор США назначается Президентом по рекомендации Генерального прокурора и утверждается Сенатом. В его обязанности входит: обжалования решения федерального суда первой инстанции, вынесенного не в пользу Правительства, утверждение апелляционных ходатайств и жалоб, заявляемых отделами (бюро) Министерства и юридическими службами других органов администрации.	Входит ли в обязанности генерального солиситора США обжалование решения федерального суда первой инстанции?	TRUE
Описание. Медаль «За участие в боях за Берлин» круглая посеребренная диаметром 38 мм. На лицевой стороне медали в центральной её части изображен орден Крест Грюнвальда. Вдоль краев медали надпись: «ZA UDZIAŁ W WALKACH O BERLIN». Слова отделены друг от друга маленькими квадратами.	Есть ли на лицевой стороне медали надпись: «ZA UDZIAŁ W WALKACH O BERLIN»?	TRUE
Этот вид программы был недавно добавлен в программу Универсиад (Первый университетский турнир состоялся в 2002 году), но впервые он появился в качестве дополнительного вида спорта на Летней Универсиаде в 1999 году в Пальма-де-Майорке, а затем в Шенцене в 2011 году. Учитывая большие традиции города для этой увлекательной дисциплины, соревнования по парусному спорту также запланированы к проведению в Неаполе. Правила участия.	Были ли соревнования по парусному спорту на Летней универсиаде?	TRUE
Карьера. 2010: Дебют и "Miss You". Композиция «Miss You», ставшая главным синглом в поддержку дебютного мини-альбома, изначально называлась «When It Began» и была предназначена для дуэта участников SHINee, Оню и Джонхёна с рэп-партиями Минхо.	Была ли песня «Miss You» в дебютном мини-альбоме SHINee?	TRUE
Диск и хвост плотно покрыты довольно крупными чешуями с основаниями в виде звезды. Максимальная зарегистрированная длина 28,8 см. Окраска ровного жёлто-коричневого или светло-коричневого цвета. Вентральная поверхность почти белая. Биология.	Были ли у динозавров хвосты?	TRUE
История. Необычное название, вероятно, связано с историей блюда и народной этимологией. Во время эпидемии холеры в 1836 году жители Вале не выходили из дома из-за риска заражения, и готовили еду, ингредиенты для которой находили в кладовой и в саду.	Была ли эпидемия холеры в 1836 году?	TRUE
В 1704 году совершал плавание в Средиземном море, под командованием сэра Клудесли Шовелла участвовал в захвате Гибралтара. Получил рыцарство за участие в Битве у Малаги. В 1708 году Джордж Бинг получил звание адмирала, в этом же году Бинг предотвратил попытку высадки в Шотландии войск якобитов и французов во главе с претендентом на английский престол Яковом III. В 1718 году Бинг одержал победу над испанской эскадрой в Сражении у мыса Пассаро, предотвратив тем самым попытку захвата испанцами Сицилии.	Была ли битва при мысе пассаро?	TRUE
Богатая внешняя отделка выполнена в характерном для Несебыра стиле. История. Церковь Архангелов Михаила и Гавриила является частью объекта Всемирного наследия ЮНЕСКО — Старого Несебыра, в северной части которого расположена. Основываясь на стилистическом сходстве с Церкви Христа Пантократора, церковь обычно относят к тому же периоду, а именно между началом 13 и началом 14 века.	Входит ли церковь архангелов в список всемирного наследия?	TRUE
В сезоне 2009—2010 стал бронзовым призёром Высшей хоккейной лиги в составе «Дизеля» (Пенза). В сезоне 2011—2012 — серебряный призёр ВХЛ в составе «Рубина» (Тюмень). Сезоны 2012—2013, 2013—2014 провёл в КХЛ в клубе «Торпедо» (Нижний Новгород).	Был ли в составе "Дизеля" в сезоне 2012-2013?	TRUE
Они торговали алмазами с троллями из города Келдор. Когда прибыл Закс он поселился в замке города Келдор. Однажды он вызвал к себе Дедушку Диззи для того, чтобы обсудить условия торговли алмазами. Однако Закс не собирался торговать алмазами, а собирался похитить Дедушку Диззи для того, чтобы получить за него выкуп.	Были ли алмазы в замке города Келдор?	TRUE
Согласно переписи 2010 года, в городе проживало 11 497 человек в 4197 домохозяйствах в составе 3116 семей. Расовый состав населения:К двум или более расам принадлежало 1,4 %. Доля испаноязычных составляла 1,7 % от всех жителей. По возрастному диапазону население распределилось следующим образом: 25,2 % — лица моложе 18 лет, 65,0 % — лица в возрасте 18-64 лет, 9,8 % — лица в возрасте 65 лет и старше.	Была ли русско-японская война 1904-1905?	TRUE
: Railway Markup Language) — это открытый формат обмена данными на основе XML для взаимодействия данных в железнодорожных приложениях. Введéние. RailML® (Железнодорожный Язык Разметки) — это общедоступный формат обмена данными базирующийся на XML и создан для совместимости применения железнодорожных операций. railML позволяет обмениваться железнодорожными данными между внутренними и внешними железнодорожными линиями.	Введено ли в россии железнодорожное сообщение?	TRUE
Создание. Создать WAR-архив можно:jar cvf archiveName. war .	Была ли возможность создать WAR-архив?	TRUE
Средний возраст жителя округа 34 лет. На каждые 100 женщин приходится 104,10 мужчин. На каждые 100 женщин старше 18 лет приходится 103,20 мужчин. Средний доход на домохозяйство в округе составлял 40 172 USD, на семью — 46 300 USD.	Был ли средний доход на домохозяйство в округе?	TRUE
Хотя он считал франшизу мертвой, Родденберри предложил Джозефа обратиться за помощью к Барретт в создании руководства, проекта, благословленного привилегированным доступом к оригинальным реквизитам и чертежам. Книга, опубликованная американским издательством Ballantine, заняла первое место в списке американской газеты The New York Times trade paperback, побив существующий рекорд по прибыльности. Его успех намекнул на большой потенциал бренда, и в течение года после его публикации Paramount и Roddenberry заключили контракт, чтобы начать работу над фильмом «Звёздный путь». Использование в качестве справочного материала.	Были ли у Родденберри конкуренты?	TRUE
Тех, кто заболевал или просто ослабевал от голода, немедленно отправляли в газовые камеры. В Треблинке, Хелмно, Белжеце, Собиборе в живых временно оставляли лишь тех, кто помогал убирать трупы из газовых камер и сжигать их, а также сортировать вещи убитых, и тех, кто обслуживал охрану лагерей. Все остальные подлежали немедленному уничтожению.	Были ли в Треблинке, Хелмно, Собиборе массовые убийства?	TRUE
Позже семья перебралась на Кубань. В 1969 году окончил Ростовский институт инженеров железнодорожного транспорта и получил направление на Батайский завод строительных конструкций. В 1979 году по направлению комитета партии завода Любченко возглавил промышленно-транспортный отдел горкома КПСС. Позже занял пост первого заместителя председателя горисполкома, после чего руководил инженерной службой областного объединения жилищно-коммунального хозяйства.	Существовал ли батайский завод строительными конструкциями?	TRUE
Членство. Учреждение является членом международной организации «Европейский союз радиовещания». Активы. Западно-Германское радио располагает программным радиотелецентром в Кёльне ("Funkhaus Köln"), окружными программными радиотелецентрами в Дюссельдорфе, Аахене, Дортмунде, Билефельде, Бонне, Эссене, Зигене, Дуйзбург и Вуппертале, 13 ретрансляционными радиотелестанциями:Западно-Германское радио является единственным участником общества с ограниченной ответственностью «ВДР Медиагруп» ("WDR mediagroup GmbH") - организации осуществляющей продажу рекламного времени между телепередачами и радиопередачами передаваемыми учреждением, заказ производства телефильмов и телесериалов, продажу их другим телеорганизациям, заказ их записи на лазерные диски, лицензирования создания художественных произведений (книг, фильмов) по их мотивам, до 2004 года - общество с ограниченной ответственностью «Вестдойче Вербефернзеен» ("Westdeutsche Werbefernsehen GmbH"), подведомственными организациями самого «ВДР Медиагруп» являются общества с ограниченной ответственностью «ВДР Медиагруп Диджитал» ("WDR Mediagroup Digital"), осуществляющее продажу рекламного времени, и «АРД Плюс» ("ARD Plus GmbH") осуществляющее платное распространение программ, телефильмов и телесериалов АРД в Интернете, является участником следующих обществ с ограниченной ответственностью:Также Западно-Германское радио является участником следующих обществ с ограниченной ответственностью:Цифровое вещание WDR.	Есть ли в Германии цифровое вещание WDR?	TRUE
Барбара Шёнебергер родилась 5 марта 1974 года в городе Мюнхене; единственный ребенок в семье музыканта-кларнетиста Ганса Шёнебергера и его жены Аннемари. Изучала социологию и историю искусств в Аугсбурге. С 1999 года Барбара Шёнебергер вела ряд передач на немецком телевидении, в числе которых были «"Die Schöneberger Show"» и «"Blondes Gift"», за что была номинирована на премию «Grimme-Preis». Она также принимала участие в съемках нескольких телевизионных фильмов и участвовала в церемонии награждения «Echo Music Prize» в 2009 году.	Была ли Барбара шёнебергер замужем?	TRUE
Географическое положение. Деревня расположена в пригороде города Вельск, на правом берегу реки Вага, притока реки Северная Двина, и соседствует на севере с административным центром Аргуновского сельского поселения, посёлком сельского типа Аргуновский. Расстояние до железнодорожной станции в Вельске составляет 4,5 км по прямой или 7,6 км пути на автотранспорте. История.	Была ли дмитровская область в составе россии?	TRUE
